Fraktionszuwendungen;2014;2015;2016;2017;2018;2019;2020;voraus. 2021
CDU;776007,35;848405,39;894600,22;907749,98;920150,01;942849,99;932416,65;849999,96
SPD;820952,04;883475;900300;913449,98;925850,01;951874,99;941916,65;849999,96
FDP;207507,86;213549,96;218649,96;221949,96;225249,96;230199,96;237124,99;270000
Bündnis 90 / Die Grünen;599168;564500,04;575700,01;583650;588750;606549,97;688833,34;1089999,96
Die Linke Köln;176175,96;219249,96;224349,96;227649,96;230949,96;235899,96;250208,33;320000,04
Pro Köln;88692,84;52841,28;53774,63;72827,54;30855,68;0;0;0
Rot-Weiß;0;0;0;0;62555,52;96399,96;80416,68;0
BUNT;0;0;0;7713,92;93833,42;47342,66;0;0
Piraten;30563,69;52841,28;53774,63;62762,44;0;0;0;0
Deine Freunde;30563,69;52841,28;53774,63;72827,54;0;0;0;0
GUT;0;0;0;0;93833,42;96399,96;99305,52;113333,04
AfD;49115,5;84950,04;86349,99;112242,43;140750,01;144600,01;158125;225000
Volt;0;0;0;0;0;0;37500;225000
Die PARTEI;0;0;0;0;0;0;18888,84;113333,04
KLIMA FREUNDE;0;0;0;0;0;0;18888,84;113333,04
Gesamt;2778746,93;2972654,23;3061274,03;3182823,75;3312777,99;3352117,46;3463624,84;4169999,04