TM 8;;;;;;;;;;;;;;;
Entwicklung der Berufskrankheiten ab 1960;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Jahr;Angezeigte Verdachtsfälle;Angezeigte Verdachtsfälle;Anerkannte Berufs-krankheiten;Anerkannte Berufs-krankheiten;Zahl der BK-Renten an Versicherte am Ende des Vorjahres;Zahl der BK-Renten an Versicherte am Ende des Vorjahres;Neue Rentenfälle;Neue Rentenfälle;Berufl. Verursach. festgestellt, vers.-rechtl. Vorauss. fehlen;Berufl. Verursach. festgestellt, vers.-rechtl. Vorauss. fehlen;"Todesfälle Berufs-
erkrankter mit Tod infolge der Berufskrankheit";"Todesfälle Berufs-
erkrankter mit Tod infolge der Berufskrankheit";;;
;Gesamt;nur gewerbliche Berufs-genossen-schaften;Gesamt;nur gewerbliche Berufs-genossen-schaften;Gesamt;nur gewerbliche Berufs-genossen-schaften;Gesamt;nur gewerbliche Berufs-genossen-schaften;Gesamt;nur gewerbliche Berufs-genossen-schaften;Gesamt;nur gewerbliche Berufsgenossen-schaften;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;;;
1960;33.727;---;---;---;---;---;7.529;---;---;---;---;---;;;
1961;33.184;---;---;---;---;---;7.306;---;---;---;---;---;;;
1962;29.261;---;---;---;---;---;6.938;---;---;---;---;---;;;
1963;27.947;---;---;---;---;---;6.779;---;---;---;---;---;;;
1964;28.042;---;---;---;---;---;6.284;---;---;---;---;---;;;
1965;27.467;---;---;---;---;---;6.464;---;---;---;---;---;;;
1966;26.061;---;---;---;---;---;6.152;---;---;---;---;---;;;
1967;26.280;---;---;---;---;---;5.836;---;---;---;---;---;;;
1968;25.793;---;---;---;---;---;5.316;---;---;---;---;---;;;
1969;27.427;---;---;---;---;---;5.464;---;---;---;---;---;;;
1970;25.960;---;---;---;---;---;5.173;---;---;---;---;---;;;
1971;27.200;---;---;---;---;---;5.374;---;---;---;---;---;;;
1972;30.273;---;---;---;---;---;5.488;---;---;---;---;---;;;
1973;32.496;29.465;---;---;78.717;72.961;5.580;---;---;---;---;---;;;
1974;35.823;32.462;---;---;77.715;71.803;6.072;---;---;---;---;---;;;
1975;38.296;34.980;---;---;77.222;71.235;6.104;---;---;---;---;---;;;
1976;40.036;36.552;---;---;76.433;70.470;6.474;---;---;---;---;---;;;
1977;48.189;44.477;---;---;76.310;70.331;7.581;---;---;---;---;---;;;
1978;45.483;41.470;14.001;13.214;78.388;72.372;7.248;---;---;---;---;---;;;
1979;45.469;41.168;14.567;13.486;79.266;73.272;6.446;---;---;---;---;---;;;
1980;45.113;40.866;13.092;12.046;80.128;74.130;6.235;---;---;---;---;---;;;
1981;42.654;38.303;13.269;12.187;81.001;74.987;6.120;---;---;---;---;---;;;
1982;37.361;33.137;12.740;11.522;81.766;75.675;5.652;---;---;---;---;---;;;
1983;35.353;30.716;11.146;9.934;82.248;76.026;4.792;---;---;---;---;---;;;
1984;35.408;31.235;9.277;8.195;81.893;75.653;4.407;---;---;---;---;---;;;
1985;37.455;32.844;7.886;6.869;81.128;74.814;3.971;---;---;---;---;---;;;
1986;44.706;39.706;8.346;7.317;80.333;74.094;3.779;3.317;---;---;1.596;1.548;;;
1987;47.265;42.625;8.168;7.275;79.395;73.206;3.760;3.321;---;---;1.506;1.455;;;
1988;51.747;46.280;8.152;7.367;78.275;71.983;4.048;3.660;---;---;1.403;1.363;;;
1989;54.467;48.975;9.975;9.051;78.049;71.736;4.400;3.941;---;---;1.324;1.281;;;
1990;57.740;51.105;10.384;9.363;78.044;71.657;4.452;4.008;---;---;1.440;1.391;;;
1991;68.858;61.156;11.197;10.479;84.633;71.451;5.049;4.570;---;---;1.382;1.317;;;
1992;85.680;73.568;13.507;12.227;152.065;135.878;5.918;5.201;---;---;1.702;1.570;;;
1993;108.989;92.058;18.725;17.293;148.328;132.599;6.401;5.668;---;---;2.192;2.040;;;
1994;97.923;83.847;21.008;19.419;148.526;132.602;7.237;6.432;---;---;2.389;2.255;;;
1995;91.561;78.600;24.298;21.897;142.059;125.264;7.587;6.708;6.725;6.006;2.488;2.329;;;
1996;93.861;82.492;24.274;22.006;145.481;127.493;8.005;7.085;7.168;6.594;2.396;2.273;;;
1997;88.797;77.544;23.432;21.202;144.143;126.185;7.867;6.987;7.198;6.631;2.185;2.071;;;
1998;85.787;74.698;20.734;18.624;143.267;126.174;6.379;5.701;8.543;7.886;2.040;1.937;;;
1999;83.738;72.972;19.402;17.061;142.092;124.019;5.993;5.318;8.778;7.965;2.043;1.933;;;
2000;81.542;71.401;18.689;16.424;140.880;122.879;5.570;4.903;8.051;7.403;1.886;1.785;;;
2001;76.612;66.980;18.599;16.896;138.055;120.454;5.750;5.192;7.626;7.045;1.904;1.794;;;
2002;71.008;62.541;18.352;16.675;135.434;118.052;5.684;5.142;8.347;7.863;2.110;2.000;;;
2003;64.856;56.976;17.425;15.765;132.354;115.332;5.307;4.804;8.216;7.764;2.080;1.980;;;
2004;63.812;55.957;17.413;15.840;129.075;112.455;5.217;4.749;8.270;7.753;2.093;1.975;;;
2005;62.569;53.668;16.519;14.930;126.260;109.934;5.651;5.210;9.218;8.740;2.600;2.484;;;
2006;64.182;54.054;14.732;13.371;122.844;106.928;4.940;4.551;9.049;8.489;2.575;2.466;;;
2007;64.257;55.640;13.932;12.374;119.826;104.275;4.306;3.954;10.461;9.738;2.347;2.268;;;
2008;63.757;55.602;13.546;12.251;117.184;102.134;4.488;4.157;10.310;9.516;2.430;2.334;;;
2009;70.100;61.711;16.657;15.237;110.017;97.420;6.781;6.436;9.671;8.971;2.803;2.714;;;
2010;73.425;64.721;15.926;14.615;107.853;95.749;6.202;5.946;15.886;15.009;2.509;2.430;;;
2011;74.337;64.982;15.880;14.281;105.597;93.840;5.534;5.181;19.389;17.834;2.560;2.485;;;
2012;73.574;64.806;15.949;14.200;101.476;90.037;5.053;4.719;20.061;18.392;2.468;2.394;;;
2013;74.680;65.737;16.413;14.581;99.392;88.372;4.926;4.573;20.686;18.822;2.357;2.303;;;
2014;75.102;65.486;16.969;15.030;96.191;85.434;5.277;4.909;20.869;18.858;2.469;2.415;;;
2015;81.702;69.874;18.041;15.658;93.228;82.629;5.180;4.813;20.550;18.486;2.415;2.325;;;
2016;80.163;68.270;22.320;18.783;90.089;79.833;5.458;5.086;19.635;17.777;2.576;2.493;;;
Quelle: Unfallversicherungsträger;;;;;;;;;;;;;;;
Hinweis: Fußnoten stehen als Kommentare in den jeweiligen Zellen;;;;;;;;;;;;;;;
