Bekämpfung der Schwarzarbeit und der illegalen Beschäftigung;;;;;;;;;;;;;
;Sachverhalt;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
;Prüfung von Arbeitgebern;65.955;64.001;63.014;43.637;40.374;52.209;53.491;54.733;44.702;48.064;53.182;42.631
;Abschluss von Ermittlungsverfahren wegen Straftaten;105.680;94.962;100.763;104.778;107.080;107.941;108.807;115.958;106.565;112.836;109.053;95.920
;Abschluss von Ermittlungsverfahren wegen Ordnungswidrigkeiten;62.175;53.993;53.007;47.280;45.783;48.828;52.579;57.248;52.173;40.462;38.786;39.915
;Summe der Bußgelder in Millionen Euro;41,3;44,7;46,7;43,4;48,7;64,4;49;57,4;46,4;35,5;32;96,1
;Schadenssumme im Rahmen der straf- und bußgeldrechtlichen Ermittlungen in Millionen Euro;751,9;777,1;795,4;818,5;812,7;967,3;835;755,4;816,5;789,7;686,4;614,6
;Schadenssumme aus Steuerstrafverfahren der Landesfinanzverwaltung in Millionen Euro, die aufgrund von Ermittlungserkenntnissen der FKS veranlasst wurden *);46,3;22;29,1;36,8;62,9;56,2;32,4;45,8;66;55;28,3;37,3
;Summe der Geldstrafen (einschließlich Wertersatz) von Urteilen und Strafbefehlen in Millionen Euro;27,2;26,1;28,2;28,8;34,1;31,6;33,4;36,6;29,8;34,4;37,7;30,5
;Summe der erwirkten Freiheitsstrafen in Jahren;2.082;1.927;1.917;1.789;1.732;1.648;1.715;1.891;1.827;1.624;1.383;987
;;;;;;;;;;;;;
;*) Angaben der Länderfinanzverwaltungen, die der Zollverwaltung zur Verfügung gestellt wurden.;;;;;;;;;;;;
